# Pepsi-SAXS version 2.6 from 29 Jan 2020
# Run at isabelsmacbookpro.local on Thu Oct 16 14:25:52 2025
# Command-line arguments: /Users/isabelvinterbladh/Downloads/Pepsi-SAXS SASDAC2_fit1_model1.pdb 
# Intensities are written in cm-1
# r0:   1.61 d_rho:   0.06
#     q                   I                 Iat                 Iev                 Ihs            <AatAev>            <AatAhs>            <AevAhs>
0.210000          4.68665121e-04      9.27763266e-03      5.59926302e-03      3.56230457e-07     -1.43890790e-02     -9.28753887e-05      7.33675926e-05
0.215000          4.06061693e-04      8.00081012e-03      4.83187015e-03      3.57316600e-07     -1.24090131e-02     -8.61751370e-05      6.82123850e-05
0.220000          3.52499009e-04      6.88850231e-03      4.16105617e-03      3.52910360e-07     -1.06810819e-02     -7.90116123e-05      6.26811254e-05
0.225000          3.07138751e-04      5.92658914e-03      3.57859662e-03      3.43724160e-07     -9.18372817e-03     -7.16121731e-05      5.69496070e-05
0.230000          2.69155717e-04      5.10108533e-03      3.07634739e-03      3.30557516e-07     -7.89560283e-03     -6.41797185e-05      5.11749899e-05
0.235000          2.37724706e-04      4.39800557e-03      2.64616440e-03      3.14209948e-07     -6.79535676e-03     -5.69171481e-05      4.55144345e-05
0.240000          2.12022765e-04      3.80339833e-03      2.27992326e-03      2.95479473e-07     -5.86169240e-03     -5.00258275e-05      4.01239258e-05
0.245000          1.91325071e-04      3.30478529e-03      1.97035871e-03      2.75098632e-07     -5.07556199e-03     -4.36401989e-05      3.51081691e-05
0.250000          1.75040843e-04      2.89170040e-03      1.71137905e-03      2.53710529e-07     -4.42099084e-03     -3.78032928e-05      3.05018258e-05
0.255000          1.62588949e-04      2.55382249e-03      1.49697706e-03      2.31951832e-07     -3.88222550e-03     -3.25515581e-05      2.63345142e-05
0.260000          1.53388257e-04      2.28083039e-03      1.32114552e-03      2.10459207e-07     -3.44351252e-03     -2.79214441e-05      2.26358529e-05
0.265000          1.46866842e-04      2.06255612e-03      1.17796641e-03      1.89852164e-07     -3.08933229e-03     -2.39463468e-05      1.94330961e-05
0.270000          1.42580671e-04      1.89095923e-03      1.06276077e-03      1.70511939e-07     -2.80741324e-03     -2.06172548e-05      1.67206590e-05
0.275000          1.40179341e-04      1.75955687e-03      9.71756724e-04      1.52645324e-07     -2.58786171e-03     -1.78941101e-05      1.44689147e-05
0.280000          1.39314594e-04      1.66190192e-03      9.01203212e-04      1.36455110e-07     -2.42083853e-03     -1.57361431e-05      1.26476856e-05
0.285000          1.39638174e-04      1.59154721e-03      8.47349156e-04      1.22144091e-07     -2.29650455e-03     -1.41025842e-05      1.12267941e-05
0.290000          1.40819379e-04      1.54236031e-03      8.06627069e-04      1.09884316e-07     -2.20550166e-03     -1.29509237e-05      1.01746957e-05
0.295000          1.42635845e-04      1.51015088e-03      7.76602410e-04      9.96580976e-08     -2.14144060e-03     -1.22279133e-05      9.45141200e-06
0.300000          1.44906497e-04      1.49146868e-03      7.55272398e-04      9.13754427e-08     -2.09906349e-03     -1.18762120e-05      9.01375051e-06
0.305000          1.47450341e-04      1.48286495e-03      7.40635103e-04      8.49462154e-08     -2.07311470e-03     -1.18384708e-05      8.81851230e-06
0.310000          1.50086399e-04      1.48089121e-03      7.30688760e-04      8.02802628e-08     -2.05833901e-03     -1.20573423e-05      8.82249969e-06
0.315000          1.52656571e-04      1.48252780e-03      7.23680864e-04      7.72620796e-08     -2.05013589e-03     -1.24778919e-05      8.98442861e-06
0.320000          1.55071704e-04      1.48604718e-03      7.18609962e-04      7.56997696e-08     -2.04587747e-03     -1.30524545e-05      9.26878068e-06
0.325000          1.57255574e-04      1.48996419e-03      7.14615491e-04      7.53871069e-08     -2.04330588e-03     -1.37347285e-05      9.64111912e-06
0.330000          1.59131960e-04      1.49279366e-03      7.10836885e-04      7.61178653e-08     -2.04016330e-03     -1.44784127e-05      1.00670072e-05
0.335000          1.60625041e-04      1.49305771e-03      7.06417707e-04      7.76858142e-08     -2.03420283e-03     -1.52373350e-05      1.05121086e-05
0.340000          1.61683044e-04      1.48971487e-03      7.00749044e-04      7.98844439e-08     -2.02383579e-03     -1.59730875e-05      1.09481217e-05
0.345000          1.62291475e-04      1.48240016e-03      6.93605654e-04      8.25068123e-08     -2.00849365e-03     -1.66592970e-05      1.13560985e-05
0.350000          1.62439045e-04      1.47080676e-03      6.84795297e-04      8.53459403e-08     -1.98769563e-03     -1.72706252e-05      1.17178954e-05
0.355000          1.62114466e-04      1.45462788e-03      6.74125734e-04      8.81948486e-08     -1.96096098e-03     -1.77817341e-05      1.20153689e-05
0.360000          1.61307721e-04      1.43357685e-03      6.61415474e-04      9.08495365e-08     -1.92783835e-03     -1.81679996e-05      1.22309022e-05
0.365000          1.60030137e-04      1.40770523e-03      6.46663572e-04      9.31560328e-08     -1.88837075e-03     -1.84167919e-05      1.23557227e-05
0.370000          1.58310752e-04      1.37734528e-03      6.30018894e-04      9.50018792e-08     -1.84301139e-03     -1.85254338e-05      1.23883970e-05
0.375000          1.56179141e-04      1.34283772e-03      6.11634842e-04      9.62758739e-08     -1.79222586e-03     -1.84915491e-05      1.23277136e-05
0.380000          1.53664879e-04      1.30452329e-03      5.91664816e-04      9.68668150e-08     -1.73647979e-03     -1.83127618e-05      1.21724611e-05
0.385000          1.50799256e-04      1.26276429e-03      5.70272431e-04      9.66768453e-08     -1.67626838e-03     -1.79882370e-05      1.19224813e-05
0.390000          1.47625879e-04      1.21807760e-03      5.47694525e-04      9.57037697e-08     -1.61229893e-03     -1.75281883e-05      1.15851655e-05
0.395000          1.44193724e-04      1.17104758e-03      5.24199891e-04      9.39871372e-08     -1.54537128e-03     -1.69476503e-05      1.11711993e-05
0.400000          1.40551792e-04      1.12225884e-03      5.00057454e-04      9.15666711e-08     -1.47628567e-03     -1.62616776e-05      1.06912821e-05
0.405000          1.36749082e-04      1.07229602e-03      4.75536137e-04      8.84820961e-08     -1.40584235e-03     -1.54853252e-05      1.01561135e-05
0.410000          1.32834506e-04      1.02173334e-03      4.50897762e-04      8.47927945e-08     -1.33482364e-03     -1.46347087e-05      9.57695879e-06
0.415000          1.28856678e-04      9.71108947e-04      4.26379513e-04      8.06263335e-08     -1.26394983e-03     -1.37296234e-05      8.96704704e-06
0.420000          1.24864143e-04      9.20953173e-04      4.02213237e-04      7.61250550e-08     -1.19392776e-03     -1.27906619e-05      8.34003253e-06
0.425000          1.20905449e-04      8.71796350e-04      3.78630779e-04      7.14313005e-08     -1.12546426e-03     -1.18384168e-05      7.70956961e-06
0.430000          1.17029051e-04      8.24167617e-04      3.55863417e-04      6.66872971e-08     -1.05926451e-03     -1.08934480e-05      7.08928834e-06
0.435000          1.13275427e-04      7.78492372e-04      3.34092948e-04      6.20252682e-08     -9.95889149e-04     -9.97347189e-06      6.49070320e-06
0.440000          1.09670999e-04      7.35013235e-04      3.13413985e-04      5.75598134e-08     -9.35644188e-04     -9.09119495e-06      5.92160140e-06
0.445000          1.06240759e-04      6.93954223e-04      2.93912271e-04      5.34037384e-08     -8.78809716e-04     -8.25881358e-06      5.38939074e-06
0.450000          1.03009700e-04      6.55539351e-04      2.75673545e-04      4.96698486e-08     -8.25665821e-04     -7.48852422e-06      4.90147899e-06
0.455000          1.00002668e-04      6.19990043e-04      2.58782336e-04      4.64683243e-08     -7.76488992e-04     -6.79229964e-06      4.46511215e-06
0.460000          9.72415013e-05      5.87474311e-04      2.43298149e-04      4.38552150e-08     -7.31481513e-04     -6.17750040e-06      4.08419953e-06
0.465000          9.47452111e-05      5.58109969e-04      2.29256976e-04      4.18356997e-08     -6.90775931e-04     -5.64715271e-06      3.75951484e-06
0.470000          9.25326991e-05      5.32012885e-04      2.16693895e-04      4.04129850e-08     -6.54502089e-04     -5.20411468e-06      3.49171015e-06
0.475000          9.06228670e-05      5.09298926e-04      2.05643987e-04      3.95902774e-08     -6.22789829e-04     -4.85124446e-06      3.28143758e-06
0.480000          8.90281755e-05      4.90020828e-04      1.96115648e-04      3.93611976e-08     -5.95686321e-04     -4.58973891e-06      3.12839806e-06
0.485000          8.77071963e-05      4.73703132e-04      1.87894043e-04      3.96391661e-08     -5.72547056e-04     -4.40689608e-06      3.02433467e-06
0.490000          8.65916488e-05      4.59607181e-04      1.80653099e-04      4.02976403e-08     -5.52382866e-04     -4.28308831e-06      2.95702514e-06
0.495000          8.56130558e-05      4.46992395e-04      1.74065928e-04      4.12097850e-08     -5.34202059e-04     -4.19863725e-06      2.91421819e-06
0.500000          8.47029399e-05      4.35118191e-04      1.67805645e-04      4.22487648e-08     -5.17012943e-04     -4.13386454e-06      2.88366254e-06
