# Pepsi-SAXS version 2.6 from 29 Jan 2020
# Run at isabelsmacbookpro.local on Thu Oct 16 14:26:02 2025
# Command-line arguments: /Users/isabelvinterbladh/Downloads/Pepsi-SAXS SASDAH2_fit1_model1.pdb 
# Intensities are written in cm-1
# r0:   1.62 d_rho:   0.06
#     q                   I                 Iat                 Iev                 Ihs            <AatAev>            <AatAhs>            <AevAhs>
0.210000          2.73830391e-04      6.70205038e-03      4.32132382e-03      4.17850006e-07     -1.07405950e-02     -6.62632466e-05      5.68966191e-05
0.215000          2.48004692e-04      5.87060565e-03      3.76977705e-03      3.90179747e-07     -9.38490371e-03     -5.82079724e-05      5.03435020e-05
0.220000          2.27907013e-04      5.18518505e-03      3.31082270e-03      3.59832672e-07     -8.26185972e-03     -5.10363725e-05      4.44355205e-05
0.225000          2.12416064e-04      4.62351791e-03      2.93100463e-03      3.28408166e-07     -7.33683802e-03     -4.48892649e-05      3.92923953e-05
0.230000          2.00660852e-04      4.16704561e-03      2.61900965e-03      2.97246774e-07     -6.58085438e-03     -3.97446186e-05      3.49073387e-05
0.235000          1.91780192e-04      3.79735492e-03      2.36360850e-03      2.67678904e-07     -5.96514549e-03     -3.55740235e-05      3.12686080e-05
0.240000          1.84913356e-04      3.49604055e-03      2.15357655e-03      2.41033729e-07     -5.46096019e-03     -3.23489618e-05      2.83643725e-05
0.245000          1.79339350e-04      3.24710447e-03      1.97909539e-03      2.18265013e-07     -5.04322679e-03     -3.00081594e-05      2.61561664e-05
0.250000          1.74672732e-04      3.04032945e-03      1.83372349e-03      1.99425020e-07     -4.69570951e-03     -2.84116813e-05      2.45415618e-05
0.255000          1.70577390e-04      2.86634816e-03      1.71151578e-03      1.84433474e-07     -4.40347168e-03     -2.74080275e-05      2.34087270e-05
0.260000          1.66717218e-04      2.71579330e-03      1.60652722e-03      1.73210095e-07     -4.15157664e-03     -2.68456979e-05      2.26458300e-05
0.265000          1.62787485e-04      2.57992679e-03      1.51318648e-03      1.65608675e-07     -3.92605761e-03     -2.65778630e-05      2.21440749e-05
0.270000          1.58696895e-04      2.45429043e-03      1.42846419e-03      1.61034579e-07     -3.71954461e-03     -2.64894599e-05      2.18153134e-05
0.275000          1.54443030e-04      2.33620825e-03      1.35038950e-03      1.58706435e-07     -3.52741477e-03     -2.64786541e-05      2.15799953e-05
0.280000          1.50023763e-04      2.22301015e-03      1.27699505e-03      1.57842255e-07     -3.34505422e-03     -2.64436546e-05      2.13585989e-05
0.285000          1.45438985e-04      2.11208449e-03      1.20635002e-03      1.57666066e-07     -3.16794164e-03     -2.62844640e-05      2.10729167e-05
0.290000          1.40740031e-04      2.00231239e-03      1.13745648e-03      1.57555395e-07     -2.99391783e-03     -2.59468685e-05      2.06782940e-05
0.295000          1.36032684e-04      1.89415485e-03      1.07030383e-03      1.57050227e-07     -2.82332352e-03     -2.54251100e-05      2.01655870e-05
0.300000          1.31425345e-04      1.78814874e-03      1.00492890e-03      1.55698354e-07     -2.65661959e-03     -2.47157588e-05      1.95273580e-05
0.305000          1.27026400e-04      1.68483113e-03      9.41368670e-04      1.53047810e-07     -2.49426723e-03     -2.38154047e-05      1.87561845e-05
0.310000          1.22934520e-04      1.58484170e-03      8.79759380e-04      1.48802816e-07     -2.33693654e-03     -2.27332832e-05      1.78544568e-05
0.315000          1.19221962e-04      1.48909926e-03      8.20507188e-04      1.43092365e-07     -2.18586581e-03     -2.15130222e-05      1.68512519e-05
0.320000          1.15956535e-04      1.39856961e-03      7.64063707e-04      1.36116982e-07     -2.04238900e-03     -2.02040409e-05      1.57801408e-05
0.325000          1.13206047e-04      1.31421857e-03      7.10880549e-04      1.28077192e-07     -1.90784008e-03     -1.88557588e-05      1.46746945e-05
0.330000          1.11031381e-04      1.23694488e-03      6.61381569e-04      1.19191903e-07     -1.78346564e-03     -1.75166265e-05      1.35680069e-05
0.335000          1.09439262e-04      1.16712308e-03      6.15773619e-04      1.09823730e-07     -1.66982918e-03     -1.62275217e-05      1.24894410e-05
0.340000          1.08410938e-04      1.10488101e-03      5.74161448e-04      1.00402905e-07     -1.56717277e-03     -1.50257591e-05      1.14666045e-05
0.345000          1.07927507e-04      1.05034509e-03      5.36649209e-04      9.13600533e-08     -1.47573662e-03     -1.39486325e-05      1.05270948e-05
0.350000          1.07969306e-04      1.00363069e-03      5.03335610e-04      8.31218364e-08     -1.39574537e-03     -1.30328727e-05      9.69812514e-06
0.355000          1.08492364e-04      9.64499853e-04      4.74145398e-04      7.59883148e-08     -1.32692629e-03     -1.22972303e-05      8.99464042e-06
0.360000          1.09423888e-04      9.32295698e-04      4.48797050e-04      7.01094364e-08     -1.26841687e-03     -1.17391364e-05      8.41703852e-06
