 05-Oct-2006       (vang_036.da - 1.000 *Avrag00.dat) /  2.3000               
vang_036.dat  Conc = .23E+01  Mult = .10E+01  N1 =    1  N2 = 2156  SCALE =  1
 Avrag00.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2156  SCALE =  1
  0.481119E+00  0.798617E+02  0.490346E+00
  0.483396E+00  0.780578E+02  0.482770E+00
  0.485672E+00  0.772913E+02  0.487318E+00
  0.487949E+00  0.772926E+02  0.480301E+00
  0.490225E+00  0.774361E+02  0.479844E+00
  0.492502E+00  0.784335E+02  0.479540E+00
  0.494779E+00  0.771670E+02  0.474469E+00
  0.497055E+00  0.761770E+02  0.475058E+00
  0.499332E+00  0.755887E+02  0.466848E+00
  0.501608E+00  0.738470E+02  0.472200E+00
  0.503885E+00  0.735339E+02  0.466425E+00
  0.506161E+00  0.729970E+02  0.462880E+00
  0.508438E+00  0.716748E+02  0.461178E+00
  0.510715E+00  0.719548E+02  0.459418E+00
  0.512991E+00  0.719383E+02  0.459202E+00
  0.515268E+00  0.710470E+02  0.453784E+00
  0.517544E+00  0.708691E+02  0.456058E+00
  0.519821E+00  0.707739E+02  0.452870E+00
  0.522098E+00  0.699704E+02  0.450912E+00
  0.524374E+00  0.689752E+02  0.448947E+00
  0.526651E+00  0.683426E+02  0.443534E+00
  0.528927E+00  0.672035E+02  0.442850E+00
  0.531204E+00  0.680565E+02  0.443236E+00
  0.533480E+00  0.673252E+02  0.440278E+00
  0.535757E+00  0.673213E+02  0.439871E+00
  0.538034E+00  0.660226E+02  0.432951E+00
  0.540310E+00  0.654465E+02  0.439780E+00
  0.542587E+00  0.654178E+02  0.430335E+00
  0.544863E+00  0.653087E+02  0.433463E+00
  0.547140E+00  0.651678E+02  0.427888E+00
  0.549417E+00  0.648361E+02  0.426311E+00
  0.551693E+00  0.637374E+02  0.430437E+00
  0.553970E+00  0.632400E+02  0.421090E+00
  0.556246E+00  0.626087E+02  0.424828E+00
  0.558523E+00  0.626848E+02  0.420015E+00
  0.560800E+00  0.620387E+02  0.419374E+00
  0.563076E+00  0.613939E+02  0.420835E+00
  0.565353E+00  0.605174E+02  0.411335E+00
  0.567629E+00  0.601391E+02  0.415590E+00
  0.569906E+00  0.595339E+02  0.411948E+00
  0.572182E+00  0.592074E+02  0.412257E+00
  0.574459E+00  0.591526E+02  0.411538E+00
  0.576736E+00  0.579817E+02  0.402843E+00
  0.579012E+00  0.576804E+02  0.410272E+00
  0.581289E+00  0.572978E+02  0.400862E+00
  0.583565E+00  0.563861E+02  0.404339E+00
  0.585842E+00  0.564743E+02  0.400009E+00
  0.588119E+00  0.568561E+02  0.399857E+00
  0.590395E+00  0.566387E+02  0.400850E+00
  0.592672E+00  0.550526E+02  0.394781E+00
  0.594948E+00  0.548757E+02  0.395860E+00
  0.597225E+00  0.550383E+02  0.393444E+00
  0.599502E+00  0.545943E+02  0.393986E+00
  0.601778E+00  0.537374E+02  0.391965E+00
  0.604055E+00  0.539430E+02  0.388180E+00
  0.606331E+00  0.536948E+02  0.388183E+00
  0.608608E+00  0.529722E+02  0.388027E+00
  0.610884E+00  0.527239E+02  0.387888E+00
  0.613161E+00  0.519991E+02  0.385534E+00
  0.615438E+00  0.518539E+02  0.380690E+00
  0.617714E+00  0.512457E+02  0.384890E+00
  0.619991E+00  0.510630E+02  0.376803E+00
  0.622267E+00  0.505817E+02  0.378941E+00
  0.624544E+00  0.504683E+02  0.376418E+00
  0.626821E+00  0.491557E+02  0.376572E+00
  0.629097E+00  0.487726E+02  0.376725E+00
  0.631374E+00  0.487774E+02  0.370733E+00
  0.633650E+00  0.493757E+02  0.373848E+00
  0.635927E+00  0.488213E+02  0.370349E+00
  0.638203E+00  0.478109E+02  0.370534E+00
  0.640480E+00  0.465491E+02  0.369659E+00
  0.642757E+00  0.466874E+02  0.365975E+00
  0.645033E+00  0.465400E+02  0.367025E+00
  0.647310E+00  0.462343E+02  0.364413E+00
  0.649586E+00  0.460822E+02  0.363771E+00
  0.651863E+00  0.460843E+02  0.362875E+00
  0.654140E+00  0.458087E+02  0.359865E+00
  0.656416E+00  0.455352E+02  0.363112E+00
  0.658693E+00  0.453243E+02  0.357662E+00
  0.660969E+00  0.441004E+02  0.357722E+00
  0.663246E+00  0.443113E+02  0.355307E+00
  0.665523E+00  0.445722E+02  0.357025E+00
  0.667799E+00  0.435226E+02  0.355431E+00
  0.670076E+00  0.436683E+02  0.352806E+00
  0.672352E+00  0.435096E+02  0.353962E+00
  0.674629E+00  0.429448E+02  0.347667E+00
  0.676905E+00  0.420652E+02  0.352552E+00
  0.679182E+00  0.415035E+02  0.347181E+00
  0.681459E+00  0.416478E+02  0.347649E+00
  0.683735E+00  0.414426E+02  0.348063E+00
  0.686012E+00  0.405239E+02  0.345073E+00
  0.688288E+00  0.407052E+02  0.346581E+00
  0.690565E+00  0.404548E+02  0.340854E+00
  0.692842E+00  0.402422E+02  0.342148E+00
  0.695118E+00  0.394409E+02  0.341842E+00
  0.697395E+00  0.398430E+02  0.339427E+00
  0.699671E+00  0.396396E+02  0.341506E+00
  0.701948E+00  0.390230E+02  0.334481E+00
  0.704224E+00  0.386422E+02  0.339549E+00
  0.706501E+00  0.381200E+02  0.336947E+00
  0.708778E+00  0.383322E+02  0.334037E+00
  0.711054E+00  0.380857E+02  0.335807E+00
  0.713331E+00  0.376178E+02  0.330008E+00
  0.715607E+00  0.374996E+02  0.333529E+00
