# Pepsi-SAXS version 3.5 from July 2022
# Run at ip78-122.eduroam-employee.wireless.lu.se on Fri Sep 26 10:58:13 2025
# Command-line arguments: /Users/isabelvinterbladh/Documents/GitLab/pepsi/build-isabel-macbookpro/Debug/Pepsi-SAXS /Users/isabelvinterbladh/Documents/GitLab/ala.pdb 
# Intensities are written in cm-1
# r0:   1.61 d_rho:   0.06
#     q                   I                 Iat                 Iev                 Ihs            <AatAev>            <AatAhs>            <AevAhs>
0.210000          1.14541111e-04      9.29349040e-04      5.22748702e-04      8.81656006e-06     -1.39177672e-03      1.79083732e-04     -1.33680207e-04
0.215000          1.13894628e-04      9.27382765e-04      5.20670927e-04      8.53241486e-06     -1.38743241e-03      1.75863148e-04     -1.31122213e-04
0.220000          1.13244415e-04      9.25377620e-04      5.18556136e-04      8.25002949e-06     -1.38300706e-03      1.72610410e-04     -1.28542721e-04
0.225000          1.12590851e-04      9.23333800e-04      5.16404712e-04      7.96964178e-06     -1.37850130e-03      1.69327154e-04     -1.25943158e-04
0.230000          1.11934318e-04      9.21251501e-04      5.14217037e-04      7.69148956e-06     -1.37391577e-03      1.66015012e-04     -1.23324950e-04
0.235000          1.11275197e-04      9.19130920e-04      5.11993492e-04      7.41581066e-06     -1.36925112e-03      1.62675619e-04     -1.20689525e-04
0.240000          1.10613869e-04      9.16972251e-04      5.09734460e-04      7.14284290e-06     -1.36450798e-03      1.59310609e-04     -1.18038310e-04
0.245000          1.09950715e-04      9.14775690e-04      5.07440323e-04      6.87282411e-06     -1.35968701e-03      1.55921614e-04     -1.15372731e-04
0.250000          1.09286114e-04      9.12541434e-04      5.05111464e-04      6.60599211e-06     -1.35478883e-03      1.52510270e-04     -1.12694215e-04
0.255000          1.08620449e-04      9.10269678e-04      5.02748265e-04      6.34258473e-06     -1.34981410e-03      1.49078209e-04     -1.10004190e-04
0.260000          1.07954100e-04      9.07960616e-04      5.00351107e-04      6.08283981e-06     -1.34476345e-03      1.45627067e-04     -1.07304082e-04
0.265000          1.07287448e-04      9.05614447e-04      4.97920373e-04      5.82699516e-06     -1.33963753e-03      1.42158476e-04     -1.04595317e-04
0.270000          1.06620874e-04      9.03231364e-04      4.95456446e-04      5.57528861e-06     -1.33443697e-03      1.38674070e-04     -1.01879324e-04
0.275000          1.05954759e-04      9.00811563e-04      4.92959707e-04      5.32795799e-06     -1.32916242e-03      1.35175484e-04     -9.91575285e-05
0.280000          1.05289483e-04      8.98355241e-04      4.90430539e-04      5.08524113e-06     -1.32381453e-03      1.31664351e-04     -9.64313577e-05
0.285000          1.04625428e-04      8.95862593e-04      4.87869323e-04      4.84737586e-06     -1.31839393e-03      1.28142305e-04     -9.37022386e-05
0.290000          1.03962974e-04      8.93333815e-04      4.85276442e-04      4.61459999e-06     -1.31290127e-03      1.24610980e-04     -9.09715979e-05
0.295000          1.03302503e-04      8.90769102e-04      4.82652279e-04      4.38715136e-06     -1.30733718e-03      1.21072010e-04     -8.82408628e-05
0.300000          1.02644394e-04      8.88168650e-04      4.79997215e-04      4.16526780e-06     -1.30170231e-03      1.17527028e-04     -8.55114599e-05
0.305000          1.01989067e-04      8.85532651e-04      4.77311692e-04      3.94915900e-06     -1.29599737e-03      1.13977920e-04     -8.27849844e-05
0.310000          1.01337088e-04      8.82861280e-04      4.74596391e-04      3.73892216e-06     -1.29022338e-03      1.10427573e-04     -8.00637030e-05
0.315000          1.00689062e-04      8.80154709e-04      4.71852053e-04      3.53462637e-06     -1.28438140e-03      1.06879127e-04     -7.73500508e-05
0.320000          1.00045593e-04      8.77413108e-04      4.69079416e-04      3.33634068e-06     -1.27847253e-03      1.03335720e-04     -7.46464627e-05
0.325000          9.94072863e-05      8.74636649e-04      4.66279222e-04      3.14413417e-06     -1.27249784e-03      9.98004932e-05     -7.19553737e-05
0.330000          9.87747455e-05      8.71825504e-04      4.63452211e-04      2.95807592e-06     -1.26645841e-03      9.62765842e-05     -6.92792188e-05
0.335000          9.81485753e-05      8.68979843e-04      4.60599123e-04      2.77823500e-06     -1.26035533e-03      9.27671325e-05     -6.66204329e-05
0.340000          9.75293803e-05      8.66099838e-04      4.57720698e-04      2.60468048e-06     -1.25418966e-03      8.92752774e-05     -6.39814510e-05
0.345000          9.69177647e-05      8.63185660e-04      4.54817677e-04      2.43748144e-06     -1.24796250e-03      8.58041578e-05     -6.13647080e-05
0.350000          9.63143331e-05      8.60237481e-04      4.51890799e-04      2.27670694e-06     -1.24167493e-03      8.23569130e-05     -5.87726389e-05
0.355000          9.57196898e-05      8.57255472e-04      4.48940805e-04      2.12242607e-06     -1.23532802e-03      7.89366822e-05     -5.62076786e-05
0.360000          9.51344395e-05      8.54239803e-04      4.45968436e-04      1.97470788e-06     -1.22892285e-03      7.55466045e-05     -5.36722622e-05
0.365000          9.45591864e-05      8.51190647e-04      4.42974431e-04      1.83362147e-06     -1.22246051e-03      7.21898189e-05     -5.11688246e-05
0.370000          9.39945350e-05      8.48108174e-04      4.39959531e-04      1.69923589e-06     -1.21594207e-03      6.88694648e-05     -4.86998007e-05
0.375000          9.34410897e-05      8.44992557e-04      4.36924475e-04      1.57162023e-06     -1.20936862e-03      6.55886813e-05     -4.62676255e-05
0.380000          9.28994551e-05      8.41843965e-04      4.33870005e-04      1.45084355e-06     -1.20274123e-03      6.23506074e-05     -4.38747340e-05
0.385000          9.23702356e-05      8.38662572e-04      4.30796860e-04      1.33697493e-06     -1.19606099e-03      5.91583823e-05     -4.15235611e-05
0.390000          9.18540355e-05      8.35448547e-04      4.27705781e-04      1.23008344e-06     -1.18932898e-03      5.60151453e-05     -3.92165418e-05
0.395000          9.13514593e-05      8.32202062e-04      4.24597508e-04      1.13023816e-06     -1.18254627e-03      5.29240354e-05     -3.69561111e-05
0.400000          9.08631115e-05      8.28923288e-04      4.21472781e-04      1.03750815e-06     -1.17571395e-03      4.98881918e-05     -3.47447039e-05
0.405000          9.03893722e-05      8.25612636e-04      4.18332347e-04      9.51891115e-07     -1.16883333e-03      4.69097437e-05     -3.25839205e-05
0.410000          8.99297241e-05      8.22271473e-04      4.15176986e-04      8.73099210e-07     -1.16190659e-03      4.39867808e-05     -3.04720226e-05
0.415000          8.94834255e-05      8.18901404e-04      4.12007482e-04      8.00773220e-07     -1.15493618e-03      4.11163828e-05     -2.84064374e-05
0.420000          8.90497348e-05      8.15504036e-04      4.08824622e-04      7.34553928e-07     -1.14792451e-03      3.82956294e-05     -2.63845919e-05
0.425000          8.86279103e-05      8.12080974e-04      4.05629191e-04      6.74082116e-07     -1.14087402e-03      3.55216004e-05     -2.44039132e-05
0.430000          8.82172105e-05      8.08633823e-04      4.02421975e-04      6.18998567e-07     -1.13378713e-03      3.27913754e-05     -2.24618283e-05
0.435000          8.78168936e-05      8.05164191e-04      3.99203759e-04      5.68944062e-07     -1.12666627e-03      3.01020343e-05     -2.05557644e-05
0.440000          8.74262181e-05      8.01673682e-04      3.95975329e-04      5.23559386e-07     -1.11951386e-03      2.74506567e-05     -1.86831484e-05
0.445000          8.70444422e-05      7.98163903e-04      3.92737471e-04      4.82485320e-07     -1.11233233e-03      2.48343224e-05     -1.68414076e-05
0.450000          8.66708244e-05      7.94636460e-04      3.89490970e-04      4.45362646e-07     -1.10512411e-03      2.22501110e-05     -1.50279689e-05
0.455000          8.63046230e-05      7.91092957e-04      3.86236613e-04      4.11832147e-07     -1.09789162e-03      1.96951024e-05     -1.32402595e-05
0.460000          8.59450964e-05      7.87535002e-04      3.82975184e-04      3.81534606e-07     -1.09063729e-03      1.71663763e-05     -1.14757064e-05
0.465000          8.55915028e-05      7.83964200e-04      3.79707470e-04      3.54110806e-07     -1.08336355e-03      1.46610123e-05     -9.73173664e-06
0.470000          8.52431008e-05      7.80382157e-04      3.76434257e-04      3.29201527e-07     -1.07607283e-03      1.21760902e-05     -8.00577737e-06
0.475000          8.48991486e-05      7.76790479e-04      3.73156329e-04      3.06447554e-07     -1.06876754e-03      9.70868976e-06     -6.29525565e-06
0.480000          8.45589047e-05      7.73190772e-04      3.69874472e-04      2.85489669e-07     -1.06145012e-03      7.25589068e-06     -4.59759854e-06
0.485000          8.42216273e-05      7.69584641e-04      3.66589473e-04      2.65968653e-07     -1.05412299e-03      4.81477268e-06     -2.91023313e-06
0.490000          8.38865748e-05      7.65973692e-04      3.63302117e-04      2.47525290e-07     -1.04678859e-03      2.38241550e-06     -1.23058650e-06
0.495000          8.35530056e-05      7.62359532e-04      3.60013190e-04      2.29800362e-07     -1.03944933e-03     -4.41011318e-08      4.43914293e-07
0.500000          8.32201780e-05      7.58743765e-04      3.56723477e-04      2.12434652e-07     -1.03210764e-03     -2.46769749e-06      2.11584216e-06
