1.430000000000000021e-02 3.304642163220381737e+07
2.019999999999999921e-02 3.608464645330362022e+07
2.479999999999999913e-02 3.064274697734196112e+07
2.860000000000000042e-02 2.962616675214305520e+07
4.039999999999999841e-02 2.581547381117356196e+07
4.290000000000000063e-02 2.470339781840175390e+07
4.950000000000000233e-02 2.412512453795025870e+07
5.720000000000000084e-02 1.918229029565151036e+07
6.069999999999999701e-02 1.842743849115730450e+07
7.149999999999999412e-02 1.391572029394500516e+07
7.430000000000000493e-02 1.303977210927471519e+07
8.089999999999999969e-02 1.161649344973570853e+07
8.580000000000000127e-02 9.499841453981831670e+06
9.900000000000000466e-02 6.523758670170524158e+06
1.000999999999999945e-01 6.191001310418133624e+06
1.010999999999999954e-01 5.919010191095701419e+06
1.144000000000000017e-01 3.947617071967856959e+06
1.213000000000000050e-01 3.183878328110103495e+06
1.237999999999999934e-01 3.059509123928054236e+06
1.287000000000000088e-01 2.548748251276801340e+06
1.414999999999999869e-01 1.833215521830314305e+06
1.429999999999999882e-01 1.723270071360893315e+06
1.486000000000000099e-01 1.423086624478630722e+06
1.572999999999999954e-01 1.239949192290337989e+06
1.617000000000000104e-01 1.062744698158301646e+06
1.716000000000000025e-01 9.423973179957770044e+05
1.733000000000000096e-01 8.899782908746165922e+05
1.819999999999999951e-01 7.864433282145451522e+05
1.980999999999999983e-01 6.156879836889776634e+05
2.021999999999999909e-01 5.660672528182920069e+05
2.223999999999999866e-01 4.111295674490788369e+05
2.228999999999999870e-01 4.092854690342001268e+05
2.426000000000000101e-01 3.113896285723656183e+05
2.475999999999999868e-01 2.848497998664026381e+05
2.723999999999999755e-01 2.139411332089975476e+05
2.970999999999999752e-01 1.933182846721418318e+05
