# Pepsi-SAXS version 2.6 from 29 Jan 2020
# Run at isabelsmacbookpro.local on Thu Oct 16 14:26:21 2025
# Command-line arguments: /Users/isabelvinterbladh/Downloads/Pepsi-SAXS SASDAJ6_fit1_model1.pdb 
# Intensities are written in cm-1
# r0:   1.62 d_rho:   0.06
#     q                   I                 Iat                 Iev                 Ihs            <AatAev>            <AatAhs>            <AevAhs>
0.210000          1.62061256e-04      3.59011821e-03      2.30073922e-03      1.07905404e-06     -5.71639687e-03     -8.20783856e-05      6.86000256e-05
0.215000          1.50419152e-04      3.14140682e-03      2.00177374e-03      9.48292202e-07     -4.98199514e-03     -7.05787364e-05      5.88641706e-05
0.220000          1.39490557e-04      2.75787548e-03      1.74779878e-03      8.28535689e-07     -4.35676204e-03     -6.04165389e-05      5.01663380e-05
0.225000          1.29609962e-04      2.44335449e-03      1.54025396e-03      7.20526327e-07     -3.84567343e-03     -5.15819683e-05      4.25363871e-05
0.230000          1.21537106e-04      2.20582414e-03      1.38254922e-03      6.28636031e-07     -3.45928850e-03     -4.45617071e-05      3.63853147e-05
0.235000          1.15921335e-04      2.04833684e-03      1.27499556e-03      5.58996893e-07     -3.20023227e-03     -3.98710034e-05      3.21332104e-05
0.240000          1.13135030e-04      1.96569462e-03      1.21290728e-03      5.18924268e-07     -3.05816788e-03     -3.79139612e-05      3.00960614e-05
0.245000          1.13087621e-04      1.94334718e-03      1.18639505e-03      5.10599070e-07     -3.00876491e-03     -3.85587851e-05      3.01584799e-05
0.250000          1.15326163e-04      1.96035632e-03      1.18215917e-03      5.31199625e-07     -3.01834111e-03     -4.12298365e-05      3.18504223e-05
0.255000          1.19120417e-04      1.99482261e-03      1.18708210e-03      5.70360036e-07     -3.05279424e-03     -4.49500964e-05      3.43896885e-05
0.260000          1.23651036e-04      2.02709918e-03      1.18986949e-03      6.15249886e-07     -3.08220172e-03     -4.86884682e-05      3.69572940e-05
0.265000          1.28123246e-04      2.04471777e-03      1.18409407e-03      6.53736867e-07     -3.08862199e-03     -5.16630830e-05      3.89427467e-05
0.270000          1.31832216e-04      2.04039311e-03      1.16655840e-03      6.77954640e-07     -3.06237804e-03     -5.34284618e-05      4.00092520e-05
0.275000          1.34207337e-04      2.01255978e-03      1.13750032e-03      6.86151343e-07     -3.00273846e-03     -5.39663273e-05      4.01658848e-05
0.280000          1.34868422e-04      1.96189986e-03      1.09808315e-03      6.80425639e-07     -2.91191763e-03     -5.34517705e-05      3.95743893e-05
0.285000          1.33622519e-04      1.89058453e-03      1.04992912e-03      6.65131201e-07     -2.79386825e-03     -5.21617446e-05      3.84737450e-05
0.290000          1.30603126e-04      1.80164419e-03      9.94440727e-04      6.43012759e-07     -2.65286094e-03     -5.02640006e-05      3.70001357e-05
0.295000          1.26172167e-04      1.69923013e-03      9.33268234e-04      6.15508032e-07     -2.49430508e-03     -4.78604428e-05      3.52238137e-05
0.300000          1.21002767e-04      1.58987810e-03      8.69056919e-04      5.82092995e-07     -2.32666807e-03     -4.49854451e-05      3.31391658e-05
0.305000          1.15844552e-04      1.48157824e-03      8.05362428e-04      5.42787752e-07     -2.16068741e-03     -4.17246104e-05      3.07731128e-05
0.310000          1.11459180e-04      1.38370485e-03      7.46780284e-04      4.99053824e-07     -2.00948868e-03     -3.82619570e-05      2.82256273e-05
0.315000          1.08344543e-04      1.30376948e-03      6.97346553e-04      4.54043590e-07     -1.88404065e-03     -3.48522629e-05      2.56673792e-05
0.320000          1.06726952e-04      1.24686958e-03      6.60154902e-04      4.11925398e-07     -1.79223732e-03     -3.17819424e-05      2.33098083e-05
0.325000          1.06408170e-04      1.21242237e-03      6.35440369e-04      3.75515821e-07     -1.73390612e-03     -2.92259282e-05      2.13019642e-05
0.330000          1.06969761e-04      1.19630738e-03      6.21522328e-04      3.46174849e-07     -1.70367264e-03     -2.72596548e-05      1.97261669e-05
0.335000          1.07830068e-04      1.19042468e-03      6.14305972e-04      3.22469718e-07     -1.68996996e-03     -2.57900240e-05      1.85369300e-05
0.340000          1.08488693e-04      1.18665331e-03      6.09403537e-04      3.02416245e-07     -1.68083396e-03     -2.46854961e-05      1.76488893e-05
0.345000          1.08636017e-04      1.17825572e-03      6.02808343e-04      2.84117920e-07     -1.66585790e-03     -2.38107023e-05      1.69564332e-05
0.350000          1.08235408e-04      1.16234176e-03      5.92441448e-04      2.67500828e-07     -1.64010446e-03     -2.31219866e-05      1.64111471e-05
0.355000          1.07479888e-04      1.13952833e-03      5.78051498e-04      2.54047884e-07     -1.60371572e-03     -2.26563770e-05      1.60181030e-05
0.360000          1.06703905e-04      1.11364887e-03      5.61330169e-04      2.45779093e-07     -1.56185078e-03     -2.24900030e-05      1.58198620e-05
